id,name,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,radius,lim_sup,lim_inf,days,hours,flights_affected
MMR-104,AREA ESTE,20 55 00N  103 05 00W,20 48 00N  102 49 00W,20 43 00N  102 53 00W,20 37 00N  103 07 00W,20 42 00N  103 18 00W,20 44 00N  103 20 00W,20 55 00N  103 05 00W,,,,,,,11000 FT AMSL,GND,POR NOTAM,POR NOTAM,VFR
MMR-105,AREA  NORTE,20 45 00N  103 31 00W,20 45 00N  103 35 00W,20 49 00N  103 40 00W,20 51 00N  103 32 00W,20 53 00N  103 24 00W,20 44 00N  103 20 00W,20 45 00N  103 31 00W,,,,,,,10000 FT AMSL,GND,LUN A SAB,1300 / 0100,VFR
MMR-106-1,AREA  OESTE - ZONA ETZATLAN,20 21 00N  103 48 00W,20 32 00N  104 04 00W,20 45 00N  104 06 00W,20 57 00N  104 04 00W,20 56 00N  103 50 00W,20 45 00N  103 50 00W,20 40 00N  103 55 00W,20 29 00N  103 50 00W,20 21 00N  103 48 00W,,,,,11000 FT AMSL,GND,LUN A SAB,1300 / 0100,VFR
MMR-106-2,AREA  OESTE - ZONA DE TALA,20 56 00N  103 50 00W,20 44 00N  103 38 00W,20 38 00N  103 42 00W,20 28 00N  103 32 00W,20 21 00N  103 48 00W,20 29 00N  103 50 00W,20 40 00N  103 55 00W,20 45 00N  103 50 00W,20 56 00N  103 50 00W,,,,,9500 FT AMSL,GND,POR NOTAM,POR NOTAM,VFR
MMR-107,AREA  SUR,20 21 00N  103 48 00W,20 24 00N  103 40 00W,20 28 00N  103 32 00W,20 15 00N  103 27 00W,20 07 00N  103 24 00W,20 01 00N  103 32 00W,20 14 00N  103 35 00W,20 21 00N  103 48 00W,,,,,,11000 FT AMSL,GND,POR NOTAM,POR NOTAM,VFR
MMR-108,ALBATROS,18 45 00N  095 45 00W,18 45 00N  096 05 00W,19 09 00N  096 05 00W,19 09 00N  095 45 00W,18 45 00N  095 45 00W,,,,,,,,,5000 FT AMSL,GND,POR NOTAM,POR NOTAM,VFR
MMP-109,LAGUNA VERDE,19 43 23N  096 24 28W,,,,,,,,,,,,926,5000 FT AMSL,GND,CONTINUO,H24,VFR
MMR-110,PILATOS,20 55 00N  103 05 00W,21 11 00N  102 53 00W,21 01 00N  102 24 00W,20 48 00N  102 49 00W,20 55 00N  103 05 00W,,,,,,,,,12000 FT AMSL,GND,LUN A SAB,1400/2300,VFR
MMR-111,LAGOS,21 11 00N  102 53 00W,21 26 00N  102 33 00W,21 32 00N  102 13 00W,21 22 00N  101 53 00W,21 00 00N  102 10 00W,21 01 00N  102 24 00W,21 11 00N  102 53 00W,,,,,,,18000 FT AMSL,GND,LUN A SAB,1400/2300,VFR
MMR-112,SANTA LUCIA,19 44 29N  099 01 49W,,,,,,,,,,,,,10500 FT AMSL,GND,LUN A SAB,1300 / 2100,VFR
